titulo,url
UEFA Champions LeagueMarseilleMarseilleplaysLiverpoolLiverpoolat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c1evdzlw21nt
UEFA Champions LeagueNewcastleNewcastle UnitedplaysPSVPSVat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/cdxjqn917n5t
UEFA Champions LeagueSlavia PragueSlavia PragueplaysBarcelonaBarcelonaat20:0020:00onWedthe21ofJan,https://www.bbc.com/sport/football/live/c7018qe2g4et
Champions League quiz: Name every city to host a final,https://www.bbc.com/sport/football/articles/c7v0871l89po
Salford pip Swindon in cup thriller to set up Man City trip,https://www.bbc.com/sport/football/live/c368ey42lept
FA Cup,https://www.bbc.com/sport/football/fa-cup
3,https://www.bbc.com/sport/football/live/c368ey42lept#comments
BBC to show St Mirren & Falkirk Scottish Cup ties,https://www.bbc.com/sport/football/articles/c701rywe1v1o
In-form Hull City hammer play-off rivals Preston,https://www.bbc.com/sport/football/live/cz0pypjl8egt
21,https://www.bbc.com/sport/football/live/cz0pypjl8egt#comments
The day I discovered the Everton contract Revie never signed,https://www.bbc.com/sport/football/articles/cy8yp1nqd21o
610,https://www.bbc.com/sport/football/articles/cy8yp1nqd21o#comments
Aberdeen in latter stages of manager search,https://www.bbc.com/sport/football/articles/c2lgvy14z81o
Aberdeen,https://www.bbc.com/sport/football/teams/aberdeen
Why Iraola's Bournemouth future is uncertain,https://www.bbc.com/sport/football/articles/ckgklrne80vo
484,https://www.bbc.com/sport/football/articles/ckgklrne80vo#comments
View more,https://www.bbc.com/sport/football/womens-european-championship
Sign up,https://cloud.email.bbc.com/FootballExtra_Newsletter_Signup?&at_bbc_team=studios&at_medium=Onsite&at_objective=acquisition&at_ptr_name=bbc.com&at_link_origin=sportarticle&at_campaign=footballextra&at_campaign_type=owned
"Football in Greenland: The 'toughest' championship in the world? Video, 00:05:59Football in Greenland: The 'toughest' championship in the world?",https://www.bbc.com/sport/football/videos/c87y0e5l8v2o
"The stunning football pitches hiding in the Arctic Circle. Video, 00:04:56The stunning football pitches hiding in the Arctic Circle",https://www.bbc.com/sport/football/videos/c8612q6jdlyo
"How does British football food rate with European fans? Video, 00:01:39How does British football food rate with European fans?",https://www.bbc.com/sport/football/videos/ce3lypzvzk7o
"Inside the $5bn World Cup stadium in California. Video, 00:02:49Inside the $5bn World Cup stadium in California",https://www.bbc.com/sport/football/videos/cpwd35e558eo
"How fans in Sweden said 'no' to VAR. Video, 00:04:00How fans in Sweden said 'no' to VAR",https://www.bbc.com/sport/football/videos/c6pyp32n198o
Browse teams,https://www.bbc.com/sport/football/teams
"Carrick would bring spirit of Man Utd back - Rooney. Video, 00:02:41Carrick would bring spirit of Man Utd back - Rooney",https://www.bbc.com/sport/football/videos/cp82d6901v9o
Man Utd,https://www.bbc.com/sport/football/teams/manchester-united
"Top four or FA Cup? - Rogers on his Villa ambitions. Video, 00:01:12Top four or FA Cup? - Rogers on his Villa ambitions",https://www.bbc.com/sport/football/videos/c8d043d5jpqo
Aston Villa,https://www.bbc.com/sport/football/teams/aston-villa
"I've worked so hard for this opportunity - Rosenior. Video, 00:01:50I've worked so hard for this opportunity - Rosenior",https://www.bbc.com/sport/football/videos/c1wz0ve8xqdo
"The best years are to come - Guardiola on signing 'extraordinary' Semenyo. Video, 00:01:27The best years are to come - Guardiola on signing 'extraordinary' Semenyo",https://www.bbc.com/sport/football/videos/cdxj2wldzvlo
"'Hugely disappointing' - Moyes on Keane red card appeal rejection. Video, 00:01:48'Hugely disappointing' - Moyes on Keane red card appeal rejection",https://www.bbc.com/sport/football/videos/cyv5ez35evlo
The great number nine decline - where have England's strikers gone?,https://www.bbc.com/sport/football/articles/cx2018n9dx5o
England Men,https://www.bbc.com/sport/football/teams/england
1462,https://www.bbc.com/sport/football/articles/cx2018n9dx5o#comments
"Captain, player, manager, Mister, number one - Davids at Barnet",https://www.bbc.com/sport/football/articles/cx2045vgx4qo
Barnet,https://www.bbc.com/sport/football/teams/barnet
From farming village to Liverpool icon - the Salah story,https://www.bbc.com/sport/football/articles/cx2xlk74llno
855,https://www.bbc.com/sport/football/articles/cx2xlk74llno#comments
Napoli 'smell blood' & target Premier League's discarded stars,https://www.bbc.com/sport/football/articles/cy5w4qzygzlo
355,https://www.bbc.com/sport/football/articles/cy5w4qzygzlo#comments
When River Plate icon Diaz took over fourth-tier Oxford,https://www.bbc.com/sport/football/articles/ce8dj443v5yo
Oxford Utd,https://www.bbc.com/sport/football/teams/oxford-united
East meets west London - the mentor who changed Chelsea,https://www.bbc.com/sport/football/articles/c134587zl01o
Chelsea,https://www.bbc.com/sport/football/teams/chelsea
The air crash and the underdogs - a triumph for a lost generation,https://www.bbc.com/sport/football/articles/czrgm6grxvlo
Is a Panenka ever the right choice for a penalty?,https://www.bbc.com/sport/football/articles/c3edp0yl57xo
887,https://www.bbc.com/sport/football/articles/c3edp0yl57xo#comments
'Shameful' and 'terrible look' - the chaos that marred Senegal's Afcon triumph,https://www.bbc.com/sport/football/articles/c70ljednyl6o
4172,https://www.bbc.com/sport/football/articles/c70ljednyl6o#comments
'Arsenal will never forgive themselves if they don't win title now',https://www.bbc.com/sport/football/articles/cm24736mrm7o
"'Results, results' - how Guardiola outlasted five Man Utd bosses",https://www.bbc.com/sport/football/articles/crkrznz15lro
1210,https://www.bbc.com/sport/football/articles/crkrznz15lro#comments
Can January signings play in the Champions League?,https://www.bbc.com/sport/football/articles/c78vznp3xw4o
How much has Guardiola spent on defenders at Man City?,https://www.bbc.com/sport/football/articles/c70170xnpzvo
What is it like to be a caretaker manager?,https://www.bbc.com/sport/football/articles/cx2w783d9ezo
Who is Manchester City debutant Max Alleyne?,https://www.bbc.com/sport/football/articles/c78vw963gp6o
Why is there no VAR in the FA Cup third and fourth round?,https://www.bbc.com/sport/football/articles/c041zkrknvlo
More European football,https://www.bbc.com/sport/football/european
'I'm to blame' - Real Madrid stunned by Albacete in Arbeloa's first game,https://www.bbc.com/sport/football/live/cy8pe7x2ekvt
597,https://www.bbc.com/sport/football/live/cy8pe7x2ekvt#comments
Roma sign forward Malen from Aston Villa,https://www.bbc.com/sport/football/articles/c4g0ey1m8v9o
Who will Crystal Palace face in Conference League play-off?,https://www.bbc.com/sport/football/articles/ckgly6ydywyo
Bayern's record-breaking Bundesliga season in numbers,https://www.bbc.com/sport/football/articles/cd9e7x5dndgo
"'If Flick hadn't come, I would have left Barca' - Raphinha",https://www.bbc.com/sport/football/articles/crmlk8zgrzyo
Tottenham sign Gallagher from Atletico for Â£35m,https://www.bbc.com/sport/football/articles/cddgzj33r2lo
1070,https://www.bbc.com/sport/football/articles/cddgzj33r2lo#comments
View more,https://www.bbc.com/sport/football/european
Sparta star to Gladbach outcast - what will Celtic get with Cvancara?,https://www.bbc.com/sport/football/articles/c4gr4yj09dpo
Celtic,https://www.bbc.com/sport/football/teams/celtic
Bologna's Ferguson seeks first win over Celtic,https://www.bbc.com/sport/football/articles/cdren830zgro
Rohl 'knocking on door' for more Rangers signings,https://www.bbc.com/sport/football/live/c9wxd2xqwe7t
Rangers,https://www.bbc.com/sport/football/teams/rangers
Rangers' opponents Stranraer face Scottish Cup expulsion,https://www.bbc.com/sport/football/articles/c1klpx4ggl7o
Aberdeen in latter stages of manager hunt after holding interviews,https://www.bbc.com/sport/football/articles/c2lgvy14z81o
Women's football news,https://www.bbc.com/sport/football/womens
City Ground to host England-Iceland qualifier,https://www.bbc.com/sport/football/articles/clyzd4l2nqpo
Women's World Cup,https://www.bbc.com/sport/football/womens-world-cup
Chelsea host Manchester United in Women's FA Cup,https://www.bbc.com/sport/football/articles/ckgyk4w3znzo
France forward Cascarino joins London City Lionesses,https://www.bbc.com/sport/football/articles/clymze8n820o
View more,https://www.bbc.com/sport/football/womens
All the latest from the Premier League,https://www.bbc.com/sport/football/premier-league
Scottish Premiership,https://www.bbc.com/sport/football/scottish-premiership
Welsh Football,https://www.bbc.com/sport/football/welsh
Irish Football,https://www.bbc.com/sport/football/irish
